Significant Go Accession: GO:0006271  Value: 0.000000
Significant Go Accession: GO:0046326  Value: 0.000005
Significant Go Accession: GO:0009161  Value: 0.000000
Significant Go Accession: GO:0007584  Value: 0.000000
Significant Go Accession: GO:0016527  Value: 0.000000
Significant Go Accession: GO:0004491  Value: 0.002275
Significant Go Accession: GO:0050046  Value: 0.000365
Significant Go Accession: GO:0045898  Value: 0.000000
Significant Go Accession: GO:0030934  Value: 0.000000
Significant Go Accession: GO:0004700  Value: 0.000000
Significant Go Accession: GO:0004719  Value: 0.007334
Significant Go Accession: GO:0042982  Value: 0.000000
Significant Go Accession: GO:0030061  Value: 0.000365
Significant Go Accession: GO:0008489  Value: 0.002275
Significant Go Accession: GO:0046582  Value: 0.000000
Significant Go Accession: GO:0005666  Value: 0.000000
Significant Go Accession: GO:0007589  Value: 0.000000
Significant Go Accession: GO:0000339  Value: 0.000000
Significant Go Accession: GO:0017056  Value: 0.000020
Significant Go Accession: GO:0006422  Value: 0.000000
Significant Go Accession: GO:0006771  Value: 0.000365
Significant Go Accession: GO:0004046  Value: 0.000000
Significant Go Accession: GO:0050771  Value: 0.014053
Significant Go Accession: GO:0019911  Value: 0.010917
Significant Go Accession: GO:0015172  Value: 0.000000
Significant Go Accession: GO:0045767  Value: 0.000000
Significant Go Accession: GO:0019987  Value: 0.000000
Significant Go Accession: GO:0007253  Value: 0.000002
Significant Go Accession: GO:0005521  Value: 0.000000
Significant Go Accession: GO:0007217  Value: 0.000000
Significant Go Accession: GO:0000235  Value: 0.000091
Significant Go Accession: GO:0005068  Value: 0.000000
Significant Go Accession: GO:0005513  Value: 0.000016
Significant Go Accession: GO:0004712  Value: 0.000000
Significant Go Accession: GO:0006378  Value: 0.000000
Significant Go Accession: GO:0006610  Value: 0.005104
Significant Go Accession: GO:0004069  Value: 0.000016
Significant Go Accession: GO:0045047  Value: 0.000000
Significant Go Accession: GO:0007089  Value: 0.000000
Significant Go Accession: GO:0030530  Value: 0.000000
Significant Go Accession: GO:0007164  Value: 0.000000
Significant Go Accession: GO:0005853  Value: 0.000000
Significant Go Accession: GO:0005774  Value: 0.000151
Significant Go Accession: GO:0048285  Value: 0.000091
Significant Go Accession: GO:0016595  Value: 0.000003
Significant Go Accession: GO:0046923  Value: 0.000002
Significant Go Accession: GO:0007252  Value: 0.000002
Significant Go Accession: GO:0016050  Value: 0.000000
Significant Go Accession: GO:0004939  Value: 0.000000
Significant Go Accession: GO:0043121  Value: 0.000000
Significant Go Accession: GO:0030175  Value: 0.000082
Significant Go Accession: GO:0001504  Value: 0.000000
Significant Go Accession: GO:0045603  Value: 0.002275
Significant Go Accession: GO:0046978  Value: 0.000001
Significant Go Accession: GO:0007388  Value: 0.000000
Significant Go Accession: GO:0050822  Value: 0.000091
Significant Go Accession: GO:0004944  Value: 0.000005
Significant Go Accession: GO:0004351  Value: 0.000032
Significant Go Accession: GO:0045768  Value: 0.000009
Significant Go Accession: GO:0007016  Value: 0.000000
Significant Go Accession: GO:0008531  Value: 0.000365
Significant Go Accession: GO:0050811  Value: 0.000000
Significant Go Accession: GO:0009596  Value: 0.000000
Significant Go Accession: GO:0050790  Value: 0.000000
Significant Go Accession: GO:0003945  Value: 0.000000
Significant Go Accession: GO:0007025  Value: 0.000000
Significant Go Accession: GO:0019903  Value: 0.000000
Significant Go Accession: GO:0045913  Value: 0.000005
Significant Go Accession: GO:0005659  Value: 0.000000
Significant Go Accession: GO:0005784  Value: 0.007334
Significant Go Accession: GO:0004332  Value: 0.000001
Significant Go Accession: GO:0008538  Value: 0.000000
Significant Go Accession: GO:0030126  Value: 0.000000
Significant Go Accession: GO:0051338  Value: 0.000009
Significant Go Accession: GO:0005660  Value: 0.000000
Significant Go Accession: GO:0016299  Value: 0.000000
Significant Go Accession: GO:0040001  Value: 0.000002
Significant Go Accession: GO:0045471  Value: 0.001457
Significant Go Accession: GO:0008159  Value: 0.000000
Significant Go Accession: GO:0008260  Value: 0.001457
Significant Go Accession: GO:0043015  Value: 0.000009
Significant Go Accession: GO:0018478  Value: 0.000091
Significant Go Accession: GO:0042288  Value: 0.000000
Significant Go Accession: GO:0006706  Value: 0.000000
Significant Go Accession: GO:0006359  Value: 0.000000
Significant Go Accession: GO:0008088  Value: 0.000000
Significant Go Accession: GO:0005218  Value: 0.000001
Significant Go Accession: GO:0000209  Value: 0.000002
Significant Go Accession: GO:0004661  Value: 0.000000
Significant Go Accession: GO:0004188  Value: 0.000365
Significant Go Accession: GO:0042993  Value: 0.000820
Significant Go Accession: GO:0004965  Value: 0.000000
Significant Go Accession: GO:0017075  Value: 0.000003
Significant Go Accession: GO:0005639  Value: 0.000000
Significant Go Accession: GO:0003831  Value: 0.000000
Significant Go Accession: GO:0015917  Value: 0.000000
Significant Go Accession: GO:0004579  Value: 0.000058
Significant Go Accession: GO:0031300  Value: 0.000000
Significant Go Accession: GO:0004528  Value: 0.000082
Significant Go Accession: GO:0045787  Value: 0.000009
Significant Go Accession: GO:0015800  Value: 0.000000
Significant Go Accession: GO:0006873  Value: 0.000000
Significant Go Accession: GO:0016594  Value: 0.000000
Significant Go Accession: GO:0016978  Value: 0.000058
Significant Go Accession: GO:0047429  Value: 0.000002
Significant Go Accession: GO:0018279  Value: 0.004449
Significant Go Accession: GO:0007516  Value: 0.000000
Significant Go Accession: GO:0008656  Value: 0.000000
Significant Go Accession: GO:0004940  Value: 0.001457
Significant Go Accession: GO:0000123  Value: 0.000000
Significant Go Accession: GO:0004865  Value: 0.000000
Significant Go Accession: GO:0000084  Value: 0.000000
Significant Go Accession: GO:0016524  Value: 0.000000
Significant Go Accession: GO:0051123  Value: 0.000001
Significant Go Accession: GO:0006104  Value: 0.000000
Significant Go Accession: GO:0019896  Value: 0.000091
Significant Go Accession: GO:0000221  Value: 0.000000
Significant Go Accession: GO:0051294  Value: 0.000820
Significant Go Accession: GO:0005589  Value: 0.000000
Significant Go Accession: GO:0004040  Value: 0.003839
Significant Go Accession: GO:0004920  Value: 0.000001
Significant Go Accession: GO:0000300  Value: 0.007334
Significant Go Accession: GO:0007616  Value: 0.003273
Significant Go Accession: GO:0008634  Value: 0.000000
Significant Go Accession: GO:0015433  Value: 0.000000
Significant Go Accession: GO:0008089  Value: 0.000000
Significant Go Accession: GO:0001671  Value: 0.000002
Significant Go Accession: GO:0043085  Value: 0.000000
Significant Go Accession: GO:0006415  Value: 0.000000
Significant Go Accession: GO:0042727  Value: 0.000365
Significant Go Accession: GO:0008095  Value: 0.000000
Significant Go Accession: GO:0006081  Value: 0.000000
Significant Go Accession: GO:0005046  Value: 0.000001
Significant Go Accession: GO:0003851  Value: 0.000820
Significant Go Accession: GO:0000248  Value: 0.000091
Significant Go Accession: GO:0019902  Value: 0.002275
Significant Go Accession: GO:0004904  Value: 0.000009
Significant Go Accession: GO:0051050  Value: 0.000001
Significant Go Accession: GO:0004566  Value: 0.003273
Significant Go Accession: GO:0006533  Value: 0.000000
Significant Go Accession: GO:0007006  Value: 0.000000
Significant Go Accession: GO:0042386  Value: 0.000000
Significant Go Accession: GO:0005673  Value: 0.000000
Significant Go Accession: GO:0004155  Value: 0.001457
Significant Go Accession: GO:0016575  Value: 0.000000
Significant Go Accession: GO:0005055  Value: 0.000023
Significant Go Accession: GO:0004704  Value: 0.000000
Significant Go Accession: GO:0006573  Value: 0.006547
Significant Go Accession: GO:0006540  Value: 0.000000
Significant Go Accession: GO:0008192  Value: 0.000001
Significant Go Accession: GO:0004415  Value: 0.000000
Significant Go Accession: GO:0008537  Value: 0.000000
Significant Go Accession: GO:0042994  Value: 0.000000
Significant Go Accession: GO:0004169  Value: 0.003273
Significant Go Accession: GO:0048487  Value: 0.000000
Significant Go Accession: GO:0005818  Value: 0.000091
Significant Go Accession: GO:0042345  Value: 0.002275
Significant Go Accession: GO:0006379  Value: 0.000000
Significant Go Accession: GO:0042447  Value: 0.000001
Significant Go Accession: GO:0004359  Value: 0.000000
Significant Go Accession: GO:0015467  Value: 0.000000
Significant Go Accession: GO:0046883  Value: 0.000000
Significant Go Accession: GO:0045661  Value: 0.006547
Significant Go Accession: GO:0031229  Value: 0.000000
Significant Go Accession: GO:0050796  Value: 0.000009
Significant Go Accession: GO:0008193  Value: 0.000091
Significant Go Accession: GO:0004430  Value: 0.000000
Significant Go Accession: GO:0008093  Value: 0.000000
Significant Go Accession: GO:0045601  Value: 0.000000
Significant Go Accession: GO:0016032  Value: 0.000000
Significant Go Accession: GO:0045323  Value: 0.000820
Significant Go Accession: GO:0015278  Value: 0.000000
Significant Go Accession: GO:0019964  Value: 0.001457
Significant Go Accession: GO:0042339  Value: 0.000365
Significant Go Accession: GO:0005497  Value: 0.000000
Significant Go Accession: GO:0030362  Value: 0.000091
Significant Go Accession: GO:0004565  Value: 0.000012
Significant Go Accession: GO:0016012  Value: 0.000000
Significant Go Accession: GO:0006026  Value: 0.000000
Significant Go Accession: GO:0005587  Value: 0.000000
Significant Go Accession: GO:0048518  Value: 0.000000
Significant Go Accession: GO:0042787  Value: 0.002275
Significant Go Accession: GO:0019136  Value: 0.000000
Significant Go Accession: GO:0006105  Value: 0.000000
First Distribution: 0.197831
Significant Go Accession: GO:0008301  Value: 0.000000
Significant Go Accession: GO:0035005  Value: 0.000005
Significant Go Accession: GO:0004802  Value: 0.000012
Significant Go Accession: GO:0050830  Value: 0.004449
Significant Go Accession: GO:0016888  Value: 0.004449
Significant Go Accession: GO:0006027  Value: 0.000000
Significant Go Accession: GO:0008247  Value: 0.000002
Significant Go Accession: GO:0004946  Value: 0.000058
Significant Go Accession: GO:0009251  Value: 0.000000
Significant Go Accession: GO:0046112  Value: 0.000000
Significant Go Accession: GO:0004339  Value: 0.000570
Significant Go Accession: GO:0016010  Value: 0.000000
Significant Go Accession: GO:0004465  Value: 0.000000
Significant Go Accession: GO:0003891  Value: 0.000000
Significant Go Accession: GO:0009110  Value: 0.000091
Significant Go Accession: GO:0016812  Value: 0.000000
Significant Go Accession: GO:0001867  Value: 0.000365
Significant Go Accession: GO:0004991  Value: 0.000000
Significant Go Accession: GO:0003836  Value: 0.000000
Significant Go Accession: GO:0005662  Value: 0.000000
Significant Go Accession: GO:0016471  Value: 0.000001
Significant Go Accession: GO:0006390  Value: 0.000001
